Ward Number,Year,Program/Agency Name,Budget Item,Capital Investment
Ward 17,2027,Education,Education Investment,171513.19
Ward 18,2027,Education,Education Investment,277634.78
Ward 19,2027,Education,Education Investment,489779.77
Ward 20,2027,Education,Education Investment,112473.78
Ward 21,2027,Education,Education Investment,259023.04
Ward 22,2027,Education,Education Investment,190572.89
Ward 23,2027,Education,Education Investment,319214.41
Ward 24,2027,Education,Education Investment,106970.73
Ward 25,2027,Education,Education Investment,276258.23
CW,2027,Education,Education Investment,467098.22
Ward 1,2028,Education,Education Investment,279013.72
Ward 2,2028,Education,Education Investment,490801.11
Ward 3,2028,Education,Education Investment,261282.28
Ward 4,2028,Education,Education Investment,174175.7
Ward 5,2028,Education,Education Investment,294413.24
Ward 6,2028,Education,Education Investment,387950.6
Ward 7,2028,Education,Education Investment,51614.59
Ward 8,2028,Education,Education Investment,336311.26
Ward 9,2028,Education,Education Investment,191328.18
Ward 10,2028,Education,Education Investment,282565.22
Ward 11,2028,Education,Education Investment,158083.12
Ward 12,2028,Education,Education Investment,394186.61
Ward 13,2028,Education,Education Investment,338451.74
Ward 14,2028,Education,Education Investment,107284.83
Ward 15,2028,Education,Education Investment,194839.95
Ward 16,2028,Education,Education Investment,316536.5
Ward 17,2028,Education,Education Investment,382554.55
Ward 18,2028,Education,Education Investment,428935
Ward 19,2028,Education,Education Investment,73138.49
Ward 20,2028,Education,Education Investment,323017.7
Ward 21,2028,Education,Education Investment,100238.98
Ward 22,2028,Education,Education Investment,265445.02
Ward 23,2028,Education,Education Investment,-
Ward 24,2028,Education,Education Investment,486921.79
Ward 25,2028,Education,Education Investment,123145.87
CW,2028,Education,Education Investment,263296.2
Ward 1,2029,Education,Education Investment,72061.84
Ward 2,2029,Education,Education Investment,426755.28
Ward 3,2029,Education,Education Investment,141237.16
Ward 4,2029,Education,Education Investment,327726.05
Ward 5,2029,Education,Education Investment,283203.02
Ward 6,2029,Education,Education Investment,197677.11
Ward 7,2029,Education,Education Investment,439452.27
Ward 8,2029,Education,Education Investment,210675.28
Ward 9,2029,Education,Education Investment,80769.77
Ward 10,2029,Education,Education Investment,315149.49
Ward 11,2029,Education,Education Investment,470049.06
Ward 12,2029,Education,Education Investment,365945.17
Ward 13,2029,Education,Education Investment,207064.48
Ward 14,2029,Education,Education Investment,346537.17
Ward 15,2029,Education,Education Investment,222344.38
Ward 16,2029,Education,Education Investment,183052.79
Ward 17,2029,Education,Education Investment,93737.93
Ward 18,2029,Education,Education Investment,112620.38
Ward 19,2029,Education,Education Investment,118246.37
Ward 20,2029,Education,Education Investment,390119.1
Ward 21,2029,Education,Education Investment,465551.34
Ward 22,2029,Education,Education Investment,364720.67
Ward 23,2029,Education,Education Investment,130105.79
Ward 24,2029,Education,Education Investment,329808.12
Ward 25,2029,Education,Education Investment,85931.5
CW,2029,Education,Education Investment,238749.4
Ward 1,2030,Education,Education Investment,193147.38
Ward 2,2030,Education,Education Investment,255153.52
Ward 3,2030,Education,Education Investment,133098.71
Ward 4,2030,Education,Education Investment,265969.91
Ward 5,2030,Education,Education Investment,441865.93
Ward 6,2030,Education,Education Investment,212589.31
Ward 7,2030,Education,Education Investment,168015.58
Ward 8,2030,Education,Education Investment,72129.02
Ward 9,2030,Education,Education Investment,441029.95
Ward 10,2030,Education,Education Investment,300626.86
Ward 11,2030,Education,Education Investment,84640
Ward 12,2030,Education,Education Investment,462374.84
Ward 13,2030,Education,Education Investment,180193.5
Ward 14,2030,Education,Education Investment,420679.07
Ward 15,2030,Education,Education Investment,64480.26
Ward 16,2030,Education,Education Investment,119780.64
Ward 17,2030,Education,Education Investment,185252.97
Ward 18,2030,Education,Education Investment,253768.28
Ward 19,2030,Education,Education Investment,438701.86
Ward 20,2030,Education,Education Investment,455825.12
Ward 21,2030,Education,Education Investment,114058.75
Ward 22,2030,Education,Education Investment,486109.16
Ward 23,2030,Education,Education Investment,385828.26
Ward 24,2030,Education,Education Investment,267769.43
Ward 25,2030,Education,Education Investment,139732.78
CW,2030,Education,Education Investment,77939.96
Ward 1,2031,Education,Education Investment,404194.91
Ward 2,2031,Education,Education Investment,202986.35
Ward 3,2031,Education,Education Investment,144955.38
Ward 4,2031,Education,Education Investment,230822.14
Ward 5,2031,Education,Education Investment,248521.84
Ward 6,2031,Education,Education Investment,234016.44
Ward 7,2031,Education,Education Investment,170627.46
Ward 8,2031,Education,Education Investment,132716.87
Ward 9,2031,Education,Education Investment,236846.1
Ward 10,2031,Education,Education Investment,376005.71
Ward 11,2031,Education,Education Investment,179462.61
Ward 12,2031,Education,Education Investment,100828.95
Ward 13,2031,Education,Education Investment,179490.37
Ward 14,2031,Education,Education Investment,153459.73
Ward 15,2031,Education,Education Investment,176631.12
Ward 16,2031,Education,Education Investment,314938.04
Ward 17,2031,Education,Education Investment,465990.99
Ward 18,2031,Education,Education Investment,484144.94
Ward 19,2031,Education,Education Investment,442952.37
Ward 20,2031,Education,Education Investment,470864.15
Ward 21,2031,Education,Education Investment,NA
Ward 22,2031,Education,Education Investment,256654.76
Ward 23,2031,Education,Education Investment,359776.21
Ward 24,2031,Education,Education Investment,152678.82
Ward 25,2031,Education,Education Investment,319667.91
CW,2031,Education,Education Investment,323837.03
Ward 1,2022,Health,Health Investment,138216.71
Ward 2,2022,Health,Health Investment,426926.18
Ward 3,2022,Health,Health Investment,152668.93
Ward 4,2022,Health,Health Investment,66294.44
Ward 5,2022,Health,Health Investment,325884.91
Ward 6,2022,Health,Health Investment,389577.92
Ward 7,2022,Health,Health Investment,452787.65
Ward 8,2022,Health,Health Investment,134328.04
Ward 9,2022,Health,Health Investment,239120.36
Ward 10,2022,Health,Health Investment,289549.8
Ward 11,2022,Health,Health Investment,130892.18
Ward 12,2022,Health,Health Investment,149760.33
Ward 13,2022,Health,Health Investment,276628.98
Ward 14,2022,Health,Health Investment,406498.93
Ward 15,2022,Health,Health Investment,370296.33
Ward 16,2022,Health,Health Investment,91482.61
Ward 17,2022,Health,Health Investment,287373.11
Ward 18,2022,Health,Health Investment,446827.32
Ward 19,2022,Health,Health Investment,191376.27
Ward 20,2022,Health,Health Investment,188499.28
Ward 21,2022,Health,Health Investment,428242.19
Ward 22,2022,Health,Health Investment,329244.02
Ward 23,2022,Health,Health Investment,175353.38
Ward 24,2022,Health,Health Investment,307442.17
Ward 25,2022,Health,Health Investment,403575.03
CW,2022,Health,Health Investment,251772.22
Ward 1,2023,Health,Health Investment,53294.75
Ward 2,2023,Health,Health Investment,355283.94
Ward 3,2023,Health,Health Investment,326722.9
Ward 4,2023,Health,Health Investment,157888.66
Ward 5,2023,Health,Health Investment,306603.73
Ward 6,2023,Health,Health Investment,268179.22
Ward 7,2023,Health,Health Investment,196599.58
Ward 8,2023,Health,Health Investment,98532.37
Ward 9,2023,Health,Health Investment,210731.49
Ward 10,2023,Health,Health Investment,64997.34
Ward 11,2023,Health,Health Investment,380744.91
Ward 12,2023,Health,Health Investment,62269.95
Ward 13,2023,Health,Health Investment,390832.83
Ward 14,2023,Health,Health Investment,201243.93
Ward 15,2023,Health,Health Investment,189541.37
Ward 16,2023,Health,Health Investment,294100.48
Ward 17,2023,Health,Health Investment,169529.5
Ward 18,2023,Health,Health Investment,269100.54
Ward 19,2023,Health,Health Investment,225612.58
Ward 20,2023,Health,Health Investment,415540.82
Ward 21,2023,Health,Health Investment,402550.18
Ward 22,2023,Health,Health Investment,318269.33
Ward 23,2023,Health,Health Investment,171093.27
Ward 24,2023,Health,Health Investment,63043.2
Ward 25,2023,Health,Health Investment,462717.79
CW,2023,Health,Health Investment,498391.45
Ward 1,2024,Health,Health Investment,NA
Ward 2,2024,Health,Health Investment,425616.3
Ward 3,2024,Health,Health Investment,253910.7
Ward 4,2024,Health,Health Investment,119433.61
Ward 5,2024,Health,Health Investment,243704.12
Ward 6,2024,Health,Health Investment,427855.54
Ward 7,2024,Health,Health Investment,128926.14
Ward 8,2024,Health,Health Investment,404970.89
Ward 9,2024,Health,Health Investment,498882.06
Ward 10,2024,Health,Health Investment,111927.36
Ward 11,2024,Health,Health Investment,280682.69
Ward 12,2024,Health,Health Investment,NA
Ward 13,2024,Health,Health Investment,379890.37
Ward 14,2024,Health,Health Investment,224065.88
Ward 15,2024,Health,Health Investment,404616.31
Ward 16,2024,Health,Health Investment,394725.32
Ward 17,2024,Health,Health Investment,494886.13
Ward 18,2024,Health,Health Investment,421787.39
Ward 19,2024,Health,Health Investment,364883.95
Ward 20,2024,Health,Health Investment,460665.72
Ward 21,2024,Health,Health Investment,70321.71
Ward 22,2024,Health,Health Investment,NA
Ward 23,2024,Health,Health Investment,247684.81
Ward 24,2024,Health,Health Investment,175916.3
Ward 25,2024,Health,Health Investment,54699.98
CW,2024,Health,Health Investment,356003.96
Ward 1,2025,Health,Health Investment,263848.88
Ward 2,2025,Health,Health Investment,423349.57
Ward 3,2025,Health,Health Investment,184670.93
Ward 4,2025,Health,Health Investment,220532.09
Ward 5,2025,Health,Health Investment,338463
Ward 6,2025,Health,Health Investment,101603.65
Ward 7,2025,Health,Health Investment,496562.87
Ward 8,2025,Health,Health Investment,490431.91
Ward 9,2025,Health,Health Investment,194630.62
Ward 10,2025,Health,Health Investment,169412.2
Ward 11,2025,Health,Health Investment,289836.37
Ward 12,2025,Health,Health Investment,273043.38
Ward 13,2025,Health,Health Investment,304433.82
Ward 14,2025,Health,Health Investment,485494.58
Ward 15,2025,Health,Health Investment,54633.78
Ward 16,2025,Health,Health Investment,391321.76
Ward 17,2025,Health,Health Investment,296024.71
Ward 18,2025,Health,Health Investment,464630.95
Ward 19,2025,Health,Health Investment,319013.48
Ward 20,2025,Health,Health Investment,260601
Ward 21,2025,Health,Health Investment,134498.11
Ward 22,2025,Health,Health Investment,96469.42
Ward 23,2025,Health,Health Investment,372057.99
Ward 24,2025,Health,Health Investment,350240.15
Ward 25,2025,Health,Health Investment,457042.54
CW,2025,Health,Health Investment,442394.96
Ward 1,2026,Health,Health Investment,320168.11
Ward 2,2026,Health,Health Investment,215230.83
Ward 3,2026,Health,Health Investment,268527.95
Ward 4,2026,Health,Health Investment,281756.37
Ward 5,2026,Health,Health Investment,371333.46
Ward 6,2026,Health,Health Investment,91748.42
Ward 7,2026,Health,Health Investment,279383.54
Ward 8,2026,Health,Health Investment,326348.16
Ward 9,2026,Health,Health Investment,425043.52
Ward 10,2026,Health,Health Investment,383500.97
Ward 11,2026,Health,Health Investment,128274.68
Ward 12,2026,Health,Health Investment,NA
Ward 13,2026,Health,Health Investment,132060.37
Ward 14,2026,Health,Health Investment,77481.21
Ward 15,2026,Health,Health Investment,127698.48
Ward 16,2026,Health,Health Investment,52718.32
Ward 17,2026,Health,Health Investment,458417.25
Ward 18,2026,Health,Health Investment,340494.28
Ward 19,2026,Health,Health Investment,382027.67
Ward 20,2026,Health,Health Investment,54054.83
Ward 21,2026,Health,Health Investment,172054.14
Ward 22,2026,Health,Health Investment,437110.56
Ward 23,2026,Health,Health Investment,438184.93
Ward 24,2026,Health,Health Investment,96578.96
Ward 25,2026,Health,Health Investment,231322.43
CW,2026,Health,Health Investment,472096.51
Ward 1,2027,Health,Health Investment,489707.17
Ward 2,2027,Health,Health Investment,409947.64
Ward 3,2027,Health,Health Investment,119102.07
Ward 4,2027,Health,Health Investment,239095.64
Ward 5,2027,Health,Health Investment,240165.81
Ward 6,2027,Health,Health Investment,233421.9
Ward 7,2027,Health,Health Investment,153193.02
Ward 8,2027,Health,Health Investment,362132.29
Ward 9,2027,Health,Health Investment,60515.18
Ward 10,2027,Health,Health Investment,332915.19
Ward 11,2027,Health,Health Investment,422710.85
Ward 12,2027,Health,Health Investment,342147.21
Ward 13,2027,Health,Health Investment,329811.25
Ward 14,2027,Health,Health Investment,177897.15
Ward 15,2027,Health,Health Investment,321317.08
Ward 16,2027,Health,Health Investment,273151.74
Ward 17,2027,Health,Health Investment,451901.01
Ward 18,2027,Health,Health Investment,227068.81
Ward 19,2027,Health,Health Investment,337261.6
Ward 20,2027,Health,Health Investment,271312.01
Ward 21,2027,Health,Health Investment,351287.43
Ward 22,2027,Health,Health Investment,149479
Ward 23,2027,Health,Health Investment,464832.02
Ward 24,2027,Health,Health Investment,356554.59
Ward 25,2027,Health,Health Investment,367350.96
CW,2027,Health,Health Investment,247385.03
Ward 1,2028,Health,Health Investment,263966.31
Ward 2,2028,Health,Health Investment,286138.51
Ward 3,2028,Health,Health Investment,176255.12
Ward 4,2028,Health,Health Investment,454442.38
Ward 5,2028,Health,Health Investment,116390.22
Ward 6,2028,Health,Health Investment,74998.77
Ward 7,2028,Health,Health Investment,157696.99
Ward 8,2028,Health,Health Investment,392564.69
Ward 9,2028,Health,Health Investment,488196.87
Ward 10,2028,Health,Health Investment,408454.46
Ward 11,2028,Health,Health Investment,477755.23
Ward 12,2028,Health,Health Investment,120391.55
Ward 13,2028,Health,Health Investment,236805.26
Ward 14,2028,Health,Health Investment,489147.53
Ward 15,2028,Health,Health Investment,309580.6
Ward 16,2028,Health,Health Investment,260954.3
Ward 17,2028,Health,Health Investment,456433.84
Ward 18,2028,Health,Health Investment,397665.11
Ward 19,2028,Health,Health Investment,264680.22
Ward 20,2028,Health,Health Investment,73718.94
Ward 21,2028,Health,Health Investment,240640.98
Ward 22,2028,Health,Health Investment,256273.46
Ward 23,2028,Health,Health Investment,105736.48
Ward 24,2028,Health,Health Investment,483020.76
Ward 25,2028,Health,Health Investment,462521.11
CW,2028,Health,Health Investment,321705.45
Ward 1,2029,Health,Health Investment,228280.19
Ward 2,2029,Health,Health Investment,406545.04
Ward 3,2029,Health,Health Investment,374912.04
Ward 4,2029,Health,Health Investment,299570.4
Ward 5,2029,Health,Health Investment,411679.47
Ward 6,2029,Health,Health Investment,468012.27
Ward 7,2029,Health,Health Investment,317434.1
Ward 8,2029,Health,Health Investment,81086.24
Ward 9,2029,Health,Health Investment,53817.94
Ward 10,2029,Health,Health Investment,190002.15
Ward 11,2029,Health,Health Investment,114103.29
Ward 12,2029,Health,Health Investment,215739.23
Ward 13,2029,Health,Health Investment,65201.07
Ward 14,2029,Health,Health Investment,165373.19
Ward 15,2029,Health,Health Investment,-
Ward 16,2029,Health,Health Investment,384621.37
Ward 17,2029,Health,Health Investment,350095.29
Ward 18,2029,Health,Health Investment,303632.17
Ward 19,2029,Health,Health Investment,253417.91
Ward 20,2029,Health,Health Investment,264900.67
Ward 21,2029,Health,Health Investment,312214.96
Ward 22,2029,Health,Health Investment,391899.49
Ward 23,2029,Health,Health Investment,108925.4
Ward 24,2029,Health,Health Investment,210092.48
Ward 25,2029,Health,Health Investment,303443.25
CW,2029,Health,Health Investment,394540.58
Ward 1,2030,Health,Health Investment,265956.75
Ward 2,2030,Health,Health Investment,121118.85
Ward 3,2030,Health,Health Investment,208245.7
Ward 4,2030,Health,Health Investment,387611.74
Ward 5,2030,Health,Health Investment,230173.41
Ward 6,2030,Health,Health Investment,226984.46
Ward 7,2030,Health,Health Investment,NA
Ward 8,2030,Health,Health Investment,444875.53
Ward 9,2030,Health,Health Investment,461254.07
Ward 10,2030,Health,Health Investment,491344.77
Ward 11,2030,Health,Health Investment,174674.71
Ward 12,2030,Health,Health Investment,227485.45
Ward 13,2030,Health,Health Investment,282812.73
Ward 14,2030,Health,Health Investment,461166.33
Ward 15,2030,Health,Health Investment,305247.23
Ward 16,2030,Health,Health Investment,226894.79
Ward 17,2030,Health,Health Investment,221547.7
Ward 18,2030,Health,Health Investment,160997.19
Ward 19,2030,Health,Health Investment,126921.2
Ward 20,2030,Health,Health Investment,286134.42
Ward 21,2030,Health,Health Investment,173763.36
Ward 22,2030,Health,Health Investment,337004.17
Ward 23,2030,Health,Health Investment,232583.08
Ward 24,2030,Health,Health Investment,195204.88
Ward 25,2030,Health,Health Investment,300859.04
CW,2030,Health,Health Investment,135119.07
Ward 1,2031,Health,Health Investment,481151.76
Ward 2,2031,Health,Health Investment,389946.2
Ward 3,2031,Health,Health Investment,63742.25
Ward 4,2031,Health,Health Investment,365613.85
Ward 5,2031,Health,Health Investment,NA
Ward 6,2031,Health,Health Investment,89148.02
Ward 7,2031,Health,Health Investment,470133.42
Ward 8,2031,Health,Health Investment,454543.06
Ward 9,2031,Health,Health Investment,468295.39
Ward 10,2031,Health,Health Investment,434732.14
Ward 11,2031,Health,Health Investment,493079.81
Ward 12,2031,Health,Health Investment,483485.8
Ward 13,2031,Health,Health Investment,314706.31
Ward 14,2031,Health,Health Investment,198081.43
Ward 15,2031,Health,Health Investment,107570.6
Ward 16,2031,Health,Health Investment,185040.11
Ward 17,2031,Health,Health Investment,287444.62
Ward 18,2031,Health,Health Investment,117237.23
Ward 19,2031,Health,Health Investment,306834.9
Ward 20,2031,Health,Health Investment,261962.89
Ward 21,2031,Health,Health Investment,216626.73
Ward 22,2031,Health,Health Investment,222792.82
Ward 23,2031,Health,Health Investment,168889.34
Ward 24,2031,Health,Health Investment,376678.68
Ward 25,2031,Health,Health Investment,283575.56
CW,2031,Health,Health Investment,313316.12
Ward 1,2022,Public Safety,Public Safety Investment,303825.2
Ward 2,2022,Public Safety,Public Safety Investment,379061.68
Ward 3,2022,Public Safety,Public Safety Investment,86473.54
Ward 4,2022,Public Safety,Public Safety Investment,144273.75
Ward 5,2022,Public Safety,Public Safety Investment,189439.02
Ward 6,2022,Public Safety,Public Safety Investment,63637.36
Ward 7,2022,Public Safety,Public Safety Investment,57542.89
Ward 8,2022,Public Safety,Public Safety Investment,198275.12
Ward 9,2022,Public Safety,Public Safety Investment,385727.61
Ward 10,2022,Public Safety,Public Safety Investment,492909.6
Ward 11,2022,Public Safety,Public Safety Investment,250871.91
Ward 12,2022,Public Safety,Public Safety Investment,311695.88
Ward 13,2022,Public Safety,Public Safety Investment,479252.76
Ward 14,2022,Public Safety,Public Safety Investment,51607.78
Ward 15,2022,Public Safety,Public Safety Investment,185636.5
Ward 16,2022,Public Safety,Public Safety Investment,377486.64
Ward 17,2022,Public Safety,Public Safety Investment,411040.18
Ward 18,2022,Public Safety,Public Safety Investment,436822.67
Ward 19,2022,Public Safety,Public Safety Investment,230087.35
Ward 20,2022,Public Safety,Public Safety Investment,487127.67
Ward 21,2022,Public Safety,Public Safety Investment,343790.65
Ward 22,2022,Public Safety,Public Safety Investment,234582.53
Ward 23,2022,Public Safety,Public Safety Investment,472093.85
Ward 24,2022,Public Safety,Public Safety Investment,111177.29
Ward 25,2022,Public Safety,Public Safety Investment,328866.1
CW,2022,Public Safety,Public Safety Investment,375616.68
Ward 1,2023,Public Safety,Public Safety Investment,232597.92
Ward 2,2023,Public Safety,Public Safety Investment,179745.06
Ward 3,2023,Public Safety,Public Safety Investment,476850.4
Ward 4,2023,Public Safety,Public Safety Investment,386870.61
Ward 5,2023,Public Safety,Public Safety Investment,302362.27
Ward 6,2023,Public Safety,Public Safety Investment,374742.18
Ward 7,2023,Public Safety,Public Safety Investment,366642.89
Ward 8,2023,Public Safety,Public Safety Investment,203487.18
Ward 9,2023,Public Safety,Public Safety Investment,84113.62
Ward 10,2023,Public Safety,Public Safety Investment,179952.62
Ward 11,2023,Public Safety,Public Safety Investment,177418.23
Ward 12,2023,Public Safety,Public Safety Investment,275140.38
Ward 13,2023,Public Safety,Public Safety Investment,144504.97
Ward 14,2023,Public Safety,Public Safety Investment,290820
Ward 15,2023,Public Safety,Public Safety Investment,170764.81
Ward 16,2023,Public Safety,Public Safety Investment,-
Ward 17,2023,Public Safety,Public Safety Investment,393811.46
Ward 18,2023,Public Safety,Public Safety Investment,240182.13
Ward 19,2023,Public Safety,Public Safety Investment,206345.26
Ward 20,2023,Public Safety,Public Safety Investment,163577.63
Ward 21,2023,Public Safety,Public Safety Investment,315721.91
Ward 22,2023,Public Safety,Public Safety Investment,77414.89
Ward 23,2023,Public Safety,Public Safety Investment,102721.58
Ward 24,2023,Public Safety,Public Safety Investment,462056.21
Ward 25,2023,Public Safety,Public Safety Investment,69558.05
CW,2023,Public Safety,Public Safety Investment,379419.9
Ward 1,2024,Public Safety,Public Safety Investment,140321.22
Ward 2,2024,Public Safety,Public Safety Investment,366739.13
Ward 3,2024,Public Safety,Public Safety Investment,285084.38
Ward 4,2024,Public Safety,Public Safety Investment,390690.77
Ward 5,2024,Public Safety,Public Safety Investment,237308.28
Ward 6,2024,Public Safety,Public Safety Investment,259271.81
Ward 7,2024,Public Safety,Public Safety Investment,303211.53
Ward 8,2024,Public Safety,Public Safety Investment,53938.31
Ward 9,2024,Public Safety,Public Safety Investment,463797.04
Ward 10,2024,Public Safety,Public Safety Investment,279114.97
Ward 11,2024,Public Safety,Public Safety Investment,297071.86
Ward 12,2024,Public Safety,Public Safety Investment,198716.45
Ward 13,2024,Public Safety,Public Safety Investment,196241.16
Ward 14,2024,Public Safety,Public Safety Investment,125468.74
Ward 15,2024,Public Safety,Public Safety Investment,78201.2
Ward 16,2024,Public Safety,Public Safety Investment,449223.87
Ward 17,2024,Public Safety,Public Safety Investment,328253.64
Ward 18,2024,Public Safety,Public Safety Investment,371538.48
Ward 19,2024,Public Safety,Public Safety Investment,92272.24
Ward 20,2024,Public Safety,Public Safety Investment,473278.55
Ward 21,2024,Public Safety,Public Safety Investment,482418.67
Ward 22,2024,Public Safety,Public Safety Investment,492208.36
Ward 23,2024,Public Safety,Public Safety Investment,61208.83
Ward 24,2024,Public Safety,Public Safety Investment,191685.23
Ward 25,2024,Public Safety,Public Safety Investment,NA
CW,2024,Public Safety,Public Safety Investment,498490.3
Ward 1,2025,Public Safety,Public Safety Investment,313022.98
Ward 2,2025,Public Safety,Public Safety Investment,276338.5
Ward 3,2025,Public Safety,Public Safety Investment,106062.58
Ward 4,2025,Public Safety,Public Safety Investment,443608.14
Ward 5,2025,Public Safety,Public Safety Investment,437517.44
Ward 6,2025,Public Safety,Public Safety Investment,484089.15
Ward 7,2025,Public Safety,Public Safety Investment,478122.84
Ward 8,2025,Public Safety,Public Safety Investment,416754.3
Ward 9,2025,Public Safety,Public Safety Investment,475170.95
Ward 10,2025,Public Safety,Public Safety Investment,326489.23
Ward 11,2025,Public Safety,Public Safety Investment,163758.47
Ward 12,2025,Public Safety,Public Safety Investment,115381.91
Ward 13,2025,Public Safety,Public Safety Investment,314753.22
Ward 14,2025,Public Safety,Public Safety Investment,351106.36
Ward 15,2025,Public Safety,Public Safety Investment,140427.64
Ward 16,2025,Public Safety,Public Safety Investment,273787.43
Ward 17,2025,Public Safety,Public Safety Investment,55071.31
Ward 18,2025,Public Safety,Public Safety Investment,181338.87
Ward 19,2025,Public Safety,Public Safety Investment,297761.9
